"","name","liaison","ownership_structure","capacity","independent_booking","events_per_month","years_operating","funding_source","interdisciplinarity","event_promotion","purpose","community_focus","creativity","experimentation","threats_neighbors","threats_cost","threats_licensing","description","contact_name","contact_email","contact_telephone","address","street","genre","venueType_club","venueType_disco","venueType_openAir","venueType_concertHall","venueType_theater","venueType_cinema","venueType_musicBar","venueType_gallery","venueType_restaurant","venueType_warehouse","venueType_arena","venueType_shop","venueType_studio","address_admin","APN","url","zip","county","city","y","x"
"14","Arrington Vineyards & Winery","Marcus Dowling","3. Information unavailable","","4. Information unavailable","2. 5-10 Events per month","3. 11-20 Years","4. Mixed/all of the above","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"Arrington Vineyards is a family-owned winery and vineyard located just outside of Nashville, Tennessee. The winery hosts a variety of events, including live music, food and wine pairings, and yoga classes.","","info@arringtonvineyards.com"," (615) 395-0102","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Ascend Amphitheater","Marcus Dowling","2. No","6800","1. Always","3. 11-20 Events per month","3. 11-20 Years","1. Ticket sales","2. Not too likely","4. Very Likely","4. Very Likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"An open air event venue on the Cumberland River in Nashville inside Metro Riverfront Park that is operated by Live Nation","","","(615) 258-5944","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"310 1ST AVE S","09306004100","https://www.livenation.com/venue/KovZpZAEet7A/ascend-amphitheater-events",37203,"Davidson","Nashville",36.1601490255148,-86.7717547545004
"16","Assembly Food Hall ","Marcus Dowling","2. No","","1. Always","4. 20+ Events per month","1. 0-3 Years","4. Mixed/all of the above","2. Not too likely","3. Somewhat likely","2. Not too likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"Assembly Food Hall is an innovative culinary and entertainment destination in the heart of downtown Nashville. Inspired by the city's diverse culture, Assembly Food Hall brings together the best sights, sounds and tastes of Music City under one roof","Brett Shane","hello@assemblyfoodhall.com"," (615) 800-5395","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Bad Axe Throwing Nashville","","2. No","","4. Information unavailable","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Bad Axe Throwing is an indoor axe throwing venue located in Nashville, Tennessee. It offers a unique and exciting experience for people of all skill levels who want to try their hand at axe throwing. It is  a popular destination for group events, such as birthday parties, bachelor/bachelorette parties, corporate team-building events, and other special occasions. ","","","(629) 203-6158","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"648 FOGG ST","09314032100","https://badaxethrowing.com/locations/axe-throwing-nashville/",37203,"Davidson","Nashville",36.1511155695785,-86.7773965322608
"18","Bar Sovereign","","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Bar Sovereign is an eclectic cocktail bar known for trying to set itself apart from any other bar in Nashville. ","","","(615) 244-3174","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"514 REP JOHN LEWIS WAY S","09310034700","https://barsovereign.com",37203,"Davidson","Nashville",36.1549939517944,-86.7744172681069
"19","Barbershop Harmony Society","Adrianna Flax","2. No","Null","3. Never","2. 5-10 Events per month","","","1.Not At All Likely","1.Not At All Likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"The headquarters of the Barbershop Harmony Society, that specialized in Barbershop - a non-profit that provides active programs in performance and music education","","","(615) 823-3993","","","Barbershop",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"110 7TH AVE N","09306302800","https://www.barbershop.org/",37203,"Davidson","Nashville",36.1600819288919,-86.7808765196033
"20","Barbershop Theater","","2. No","","4. Information unavailable","","","1. Ticket sales","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0," It is an affordable art space with a 50-75 seat house. It hosts performances from artists and theater companies from all around the Nashville area","","info@streettheatrecompany.org","(615) 306-6183","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"4003 INDIANA AVE","09112021700","https://www.thebarbershoptheater.com/",37209,"Davidson","Nashville",36.1568154616949,-86.8346982245551
"21","Barlines (Omni Nashville Hotel)","","3. Information unavailable","Null","1. Always","","","","2. Not too likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Bar and music venue with jumbo flat screen TVs and music 7 days a week and an award-winning menu of delectable Southern-inspired dishes and hand-crafted Tennessee libations.","","","(615) 782-5300","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"250 REP JOHN LEWIS WAY S","093100B00300CO","https://www.omnihotels.com/hotels/nashville/dining/barlines",37203,"Davidson","Nashville",36.1574506499472,-86.7756317707792
"22","Bavarian Bierhaus","","3. Information unavailable","","4. Information unavailable","3. 11-20 Events per month","3. 11-20 Years","4. Mixed/all of the above","2. Not too likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"Bavarian Bierhaus is a German Restaurant & Bierhaus located at Opry Mills Nashville","","","(615) 238-0687","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"433 OPRY MILLS DR","07300001700","http://www.bierhausnashville.com/",37214,"Davidson","Nashville",36.2029713507032,-86.6926991504021
"23","Belcourt Theatre","Eric Holt","2. No","700","4. Information unavailable","4. 20+ Events per month","2. 3-10 Years","","4. Very Likely","3. Somewhat likely","4. Very Likely","4. Very Likely",NA,"3. Somewhat likely",0,0,0,"A non-profit film center with historic roots as a live music venue in Nashville, featuring film programming and occasional live music events","","","(615) 846-3150","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2100 BELCOURT AVE","10408010800","https://www.belcourt.org/",37212,"Davidson","Nashville",36.1369346870416,-86.8014113828095
"24","Benchmark Bar & Grill","","3. Information unavailable","Null","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Contemporary tavern with sports on TV, rustic decor, music events & a menu of bar bites.","","benchmarkfranklintn@gmail.com","(615) 852-7460","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Betty's Grill","Adrianna Flax","3. Information unavailable","40","4. Information unavailable","","","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Mellow, cash-only & smoker-friendly neighborhood haunt with pub grub, live bands, pool & beer.","Betty Spies","bettyspies.com@gmail.com","(615) 297-7257","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"4900 CHARLOTTE AVE","09115025000","No website available",37209,"Davidson","Nashville",36.1523688453056,-86.846129606912
"26","Big Jimmy's","","3. Information unavailable","","4. Information unavailable","","1. 0-3 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Big Jimmy's is a burger resturant that also has live music performances.","","","(615) 712-6059","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"109 2ND AVE N","09306204700","https://www.bigjimmysburgers.com/",37201,"Davidson","Nashville",36.1621031575084,-86.7756227756532
"27","Big Machine Brewery","Marcus Dowling","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"The distillery produces a variety of spirits, including vodka, gin, and whiskey, all of which are made using locally-sourced ingredients. The distillery also offers tours, tastings, and private event spaces.","","Brewery@bigmachinedistellery.com","(615) 345-4539","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"120 3RD AVE S","09306405500","https://www.bigmachinevodka.com/nashville",37201,"Davidson","Nashville",36.1608642679595,-86.7752057314528
"28","Big Shotz","","3. Information unavailable","Null","4. Information unavailable","2. 5-10 Events per month","","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"BigShotz provides locals and tourists live entertainment daily-a mix of country and southern rock and the lowest beer prices downtown.","","","(615) 244-9011","","","Country & Sourthern Rock",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"115 2ND AVE N","09306205000","No website available",37201,"Davidson","Nashville",36.1623044890624,-86.7757626502771
"29","Black Rabbit ","","1. Yes","","4. Information unavailable","3. 11-20 Events per month","2. 3-10 Years","4. Mixed/all of the above","2. Not too likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"The Black Rabbit venue in Nashville is a music venue and event space that hosts live performances, private events, and other gatherings","","","(615) 891-2380","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Bobby's Idle Hour Tavern","","3. Information unavailable","49","4. Information unavailable","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"Bobby's Idle Hour Tavern is Nashville's premier Americana venue and main hang for some of the best songwriters in town.","","","(615) 726-0446","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"9 MUSIC SQ S","10404013000","https://www.bobbysidlehour.com/",37203,"Davidson","Nashville",36.1465406716453,-86.7933100100686
"31","Bongo Java After Hours Theatre","Eric Holt","3. Information unavailable","Null","1. Always","2. 5-10 Events per month","4. 20+ Years","","3. Somewhat likely","2. Not too likely","2. Not too likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"A small, intimate theater that operates above Nashville's oldest and treasured coffee house Bongo Java, hosting musical events, theatre, and workshops and classes for the Nashville community","","upstairs@bongoafterhours.com","(615) 777-2572","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2007 BELMONT BLVD","10412028200","https://www.bongo.coffee/pages/bongo-java",37212,"Davidson","Nashville",36.1321772365265,-86.7958968469065
"32","Bootleggers Inn","","3. Information unavailable","75","4. Information unavailable","4. 20+ Events per month","3. 11-20 Years","4. Mixed/all of the above","2. Not too likely","4. Very Likely","4. Very Likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"An intimate moonshine bar located in the heart of Nashville that combines the history of prohibition with music.","","bootleggersinn@gmail.com","(615) 457-3983","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"207 BROADWAY","09306404600","https://www.bootleggersnashville.com/",37201,"Davidson","Nashville",36.1614668811981,-86.775272560589
"33","Bourbon Street Blues and Boogie Bar","Eric Holt","3. Information unavailable","","4. Information unavailable","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","4. Very Likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"Music club with Cajun cuisine & blues presented 7 nights per week in Mardi Gras–themed surroundings.","","bourbonstreetbluesbar@gmail.com","(615) 242-5837","","","Blues",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"218 4TH AVE N","09302316100","https://www.bourbonstreetbluesandboogiebar.com/",37201,"Davidson","Nashville",36.1644028722652,-86.7789763418611
"34","Bowie's","","3. Information unavailable","598","4. Information unavailable","4. 20+ Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"Rock N Roll music venues and restaurant in downtown Nashville.","","info@bowiesnashville.com","(615) 953-7155","","","Rock",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"174 3RD AVE N","09306200200","https://www.bowiesnashville.com/",37201,"Davidson","Nashville",36.1638786655697,-86.7771900843685
"35","Bridgestone Arena","Eric Holt","2. No","20000","1. Always","3. 11-20 Events per month","4. 20+ Years","1. Ticket sales","3. Somewhat likely","4. Very Likely","4. Very Likely","2. Not too likely",NA,"2. Not too likely",0,0,0,"Bridgestone Arena is a multi-purpose venue in downtown Nashville, Tennessee. Completed in 1996, it is the home of the Nashville Predators of the National Hockey League.","","","(615) 770-7800","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"501 BROADWAY","09306000800","https://www.bridgestonearena.com/",37203,"Davidson","Nashville",36.1591353948432,-86.778488782246
"36","Brooklyn Bowl Nashville","Eric Holt","1. Yes","1200","2. Sometimes","2. 5-10 Events per month","3. 11-20 Years","1. Ticket sales","1.Not At All Likely","2. Not too likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"Germantown 1,200 capacity music venue and state-of-the-art bowling alley.","Sara Barnett","nashvilleinfo@brooklynbowl.com","(615) 953-5450","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"915 3RD AVE N","08213040500","https://www.brooklynbowl.com/nashville",37201,"Davidson","Nashville",36.1733202596843,-86.7838999858617
"37","Bucanas 2009","","1. Yes","Null","4. Information unavailable","3. 11-20 Events per month","","","2. Not too likely","3. Somewhat likely","4. Very Likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"Spacious, high-energy night club featuring Latin music by house DJs and live entertainment.","","bucanasnashville@gmail.com","(615) 642-6417","","","Latin",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"3802 NOLENSVILLE PIKE","13300002400","No website available",37211,"Davidson","Nashville",36.0882761691529,-86.7294282783182
"38","Cafe Coco","Eric Holt","1. Yes","Null","3. Never","","4. 20+ Years","4. Mixed/all of the above","3. Somewhat likely","2. Not too likely","2. Not too likely","4. Very Likely",NA,"4. Very Likely",0,0,0,"This funky coffeehouse is open around the clock & features music, munchies & patio seating.","","office@cafecoco.com","(615) 321-2626","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"210 LOUISE AVE","09215010600","https://cafecoco.com/",37203,"Davidson","Nashville",36.1519124334247,-86.8048933986249
"39","Caney Fork River Valley Grille","","3. Information unavailable","Null","4. Information unavailable","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","2. Not too likely","2. Not too likely","2. Not too likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"Family friendly menu and live music.","","CaneyForkRestaurant.Nashville@Yahoo.com","(615) 724-1200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2400 MUSIC VALLEY DR","06200011800","https://www.caneyforkrestaurant.com/",37214,"Davidson","Nashville",36.2176199269501,-86.6967520749508
"40","Cannery Hall (to be opened)","","3. Information unavailable","","4. Information unavailable","","","","","","","",NA,"",0,0,0,"Cannery Hall to open in 2023, becoming largest independent venue in Music City.  ","Brent Hyams","","(615) 649-9555","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1 CANNERY ROW","09314000200","https://www.canneryhall.com/",37203,"Davidson","Nashville",36.1528900102878,-86.7803029695665
"41","Carl's Corner Pub & Bar","","3. Information unavailable","","4. Information unavailable","","","","","","","",NA,"",0,0,0,"South Nashville sports bar and neighborhood hangout Carl's Corner often offers karaoke and occasionally live music, with bar food also available.","","axisjack85@gmail.com","(615) 781-5353","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"3755 NOLENSVILLE PIKE","13310004200","No website available",37211,"Davidson","Nashville",36.0915902516046,-86.7363020966634
"42","Carol Ann’s","Eric Holt","3. Information unavailable","","4. Information unavailable","3. 11-20 Events per month","2. 3-10 Years","","4. Very Likely","4. Very Likely","4. Very Likely","4. Very Likely",NA,"4. Very Likely",0,0,0,"Known for its peach cobbler, this homestyle standby also offers other Southern staples & live music.","","","(615) 259-2551","407 Murfreesboro Pike, Nashville, TN 37210","Murfreesboro Pike","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"407 MURFREESBORO PIKE","10601010900","https://www.facebook.com/CarolAnnsCafe/",37210,"Davidson","Nashville",36.143954350951,-86.7488757222498
"43","Casa Rosa Miranda Lamberts","Marcus Dowling","3. Information unavailable","","4. Information unavailable","4. 20+ Events per month","","","2. Not too likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Casa Rosa is a four-level bar & restaurant that reflects Miranda Lambert's passion for Tex-Mex and live music. ","","casaguestservice@Tcrestgroup.com","","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"308 BROADWAY","09306202600","https://casarosanashville.com/",37201,"Davidson","Nashville",36.1615992862338,-86.7766188794036
"44","CE gallery
(WEHO and/or Madison location)","Eric Holt","1. Yes","","4. Information unavailable","2. 5-10 Events per month","1. 0-3 Years","4. Mixed/all of the above","4. Very Likely","4. Very Likely","4. Very Likely","4. Very Likely",NA,"4. Very Likely",0,0,0,"A multi-media studio that curates avant-garde experiences with the arts & holistic community. Speakeasy inspired contemporary & performance arts studio. ","Clarence Edward","info@cegallery.co","","516 Houston St, Nashville, TN 37203","Houston St","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"425 CHESTNUT ST","10503017100","https://www.facebook.com/TheCeGallery/",37203,"Davidson","Nashville",36.1435556808651,-86.7683283305007
"45","Cheekwood Botanical Garden and Museum of Art","Eric Holt","2. No","Null","4. Information unavailable","3. 11-20 Events per month","2. 3-10 Years","","4. Very Likely","3. Somewhat likely","4. Very Likely","4. Very Likely",NA,"3. Somewhat likely",0,0,0,"Botanical garden and art museum located on the historic Cheek estate which hosts seasonal festivals with live music","","","(615) 356-8000","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"111 CHEEK RD","12912013400","https://cheekwood.org/",37205,"Davidson","Nashville",36.0883675288851,-86.8760754155159
"46","Chief's on Broadway (to be opened)","Marcus Dowling","3. Information unavailable","","4. Information unavailable","","","","","","","",NA,"",0,0,0,"Open in Fall 2023. Chief’s is a six-story bar, restaurant, event space, and live music venue designed to celebrate Eric Church’s ever-expanding musical legacy.","","","(629) 255-0948","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
